aspiration,body-style,bore,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,fuel-type,gas,height,highway-mpg,horsepower,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,price,price_binned,stroke,symboling,wheel-base,width
std,hatchback,3.19,29.0,9.0,2204.0,,rwd,front,98.0,ohc,2bbl,gas,,52.6,34.0,70.0,-0.3133967384303595,toyota,168.0,four,two,4800.0,8238.0,Low,3.03,1.0,94.5,64.0
std,sedan,3.24,26.0,9.4,2265.0,,rwd,front,98.0,dohc,mpfi,gas,,52.6,29.0,112.0,-0.3133967384303595,toyota,168.0,four,two,6600.0,9298.0,Low,3.08,1.0,94.5,64.0
std,hatchback,3.24,26.0,9.4,2300.0,,rwd,front,98.0,dohc,mpfi,gas,,52.6,29.0,112.0,-0.3133967384303595,toyota,168.0,four,two,6600.0,9538.0,Low,3.08,1.0,94.5,64.0
std,hardtop,3.62,24.0,9.3,2540.0,,rwd,front,146.0,ohc,mpfi,gas,,52.0,30.0,116.0,0.3360180191528477,toyota,134.0,four,two,4800.0,8449.0,Low,3.5,2.0,98.4,65.6
std,hardtop,3.62,24.0,9.3,2536.0,,rwd,front,146.0,ohc,mpfi,gas,,52.0,30.0,116.0,0.3360180191528477,toyota,134.0,four,two,4800.0,9639.0,Low,3.5,2.0,98.4,65.6
std,hatchback,3.62,24.0,9.3,2551.0,,rwd,front,146.0,ohc,mpfi,gas,,52.0,30.0,116.0,0.3360180191528477,toyota,134.0,four,two,4800.0,9989.0,Low,3.5,2.0,98.4,65.6
std,hardtop,3.62,24.0,9.3,2679.0,,rwd,front,146.0,ohc,mpfi,gas,,52.0,30.0,116.0,0.3360180191528477,toyota,134.0,four,two,4800.0,11199.0,Low,3.5,2.0,98.4,65.6
std,hatchback,3.62,24.0,9.3,2714.0,,rwd,front,146.0,ohc,mpfi,gas,,52.0,30.0,116.0,0.3360180191528477,toyota,134.0,four,two,4800.0,11549.0,Low,3.5,2.0,98.4,65.6
std,convertible,3.62,24.0,9.3,2975.0,,rwd,front,146.0,ohc,mpfi,gas,,53.0,30.0,116.0,0.3360180191528477,toyota,134.0,four,two,4800.0,17669.0,Medium,3.5,2.0,98.4,65.6
std,sedan,3.31,29.0,8.7,2326.0,,fwd,front,122.0,ohc,mpfi,gas,,54.9,34.0,92.0,0.28406483854619163,toyota,65.0,four,four,4200.0,8948.0,Low,3.54,-1.0,102.4,66.5
turbo,sedan,3.27,30.0,22.5,2480.0,,fwd,front,110.0,ohc,idi,diesel,,54.9,33.0,73.0,0.28406483854619163,toyota,65.0,four,four,4500.0,10698.0,Low,3.35,-1.0,102.4,66.5
std,hatchback,3.31,27.0,8.7,2414.0,,fwd,front,122.0,ohc,mpfi,gas,,53.9,32.0,92.0,0.28406483854619163,toyota,65.0,four,four,4200.0,9988.0,Low,3.54,-1.0,102.4,66.5
std,sedan,3.31,27.0,8.7,2414.0,,fwd,front,122.0,ohc,mpfi,gas,,54.9,32.0,92.0,0.28406483854619163,toyota,65.0,four,four,4200.0,10898.0,Low,3.54,-1.0,102.4,66.5
std,hatchback,3.31,27.0,8.7,2458.0,,fwd,front,122.0,ohc,mpfi,gas,,53.9,32.0,92.0,0.28406483854619163,toyota,65.0,four,four,4200.0,11248.0,Low,3.54,-1.0,102.4,66.5
std,hatchback,3.27,20.0,9.3,2976.0,,rwd,front,171.0,dohc,mpfi,gas,,52.0,24.0,161.0,0.9681150498671703,toyota,197.0,six,two,5200.0,16558.0,Medium,3.35,3.0,102.9,67.7
std,hatchback,3.27,19.0,9.3,3016.0,,rwd,front,171.0,dohc,mpfi,gas,,52.0,24.0,161.0,0.9681150498671703,toyota,197.0,six,two,5200.0,15998.0,Medium,3.35,3.0,102.9,67.7
std,sedan,3.27,20.0,9.2,3131.0,,rwd,front,171.0,dohc,mpfi,gas,,54.1,24.0,156.0,1.3404461775482102,toyota,90.0,six,four,5200.0,15690.0,Medium,3.35,-1.0,104.5,66.5
std,sedan,3.01,37.0,23.0,2261.0,,fwd,front,97.0,ohc,idi,diesel,,55.7,46.0,52.0,-0.05363083539707661,volkswagen,122.0,four,two,4800.0,7775.0,Low,3.4,2.0,97.3,65.5
std,sedan,3.19,27.0,9.0,2209.0,,fwd,front,109.0,ohc,mpfi,gas,,55.7,34.0,85.0,-0.05363083539707661,volkswagen,122.0,four,two,5250.0,7975.0,Low,3.4,2.0,97.3,65.5
std,sedan,3.01,37.0,23.0,2264.0,,fwd,front,97.0,ohc,idi,diesel,,55.7,46.0,52.0,-0.05363083539707661,volkswagen,94.0,four,four,4800.0,7995.0,Low,3.4,2.0,97.3,65.5
std,sedan,3.19,27.0,9.0,2212.0,,fwd,front,109.0,ohc,mpfi,gas,,55.7,34.0,85.0,-0.05363083539707661,volkswagen,94.0,four,four,5250.0,8195.0,Low,3.4,2.0,97.3,65.5
std,sedan,3.19,27.0,9.0,2275.0,,fwd,front,109.0,ohc,mpfi,gas,,55.7,34.0,85.0,-0.05363083539707661,volkswagen,94.0,four,four,5250.0,8495.0,Low,3.4,2.0,97.3,65.5
turbo,sedan,3.01,37.0,23.0,2319.0,,fwd,front,97.0,ohc,idi,diesel,,55.7,42.0,68.0,-0.05363083539707661,volkswagen,94.0,four,four,4500.0,9495.0,Low,3.4,2.0,97.3,65.5
std,sedan,3.19,26.0,10.0,2300.0,,fwd,front,109.0,ohc,mpfi,gas,,55.7,32.0,100.0,-0.05363083539707661,volkswagen,94.0,four,four,5500.0,9995.0,Low,3.4,2.0,97.3,65.5
std,hatchback,3.19,24.0,8.5,2221.0,,fwd,front,109.0,ohc,mpfi,gas,,51.4,29.0,90.0,-0.5731626414636424,volkswagen,256.0,four,two,5500.0,9980.0,Low,3.4,3.0,94.5,64.0
std,sedan,3.78,23.0,9.5,2912.0,,rwd,front,141.0,ohc,mpfi,gas,,56.2,28.0,114.0,1.4270348118926377,volvo,103.0,four,four,5400.0,12940.0,Low,3.15,-2.0,104.3,67.2
std,wagon,3.78,23.0,9.5,3034.0,,rwd,front,141.0,ohc,mpfi,gas,,57.5,28.0,114.0,1.4270348118926377,volvo,74.0,four,four,5400.0,13415.0,Low,3.15,-1.0,104.3,67.2
std,sedan,3.78,24.0,9.5,2935.0,,rwd,front,141.0,ohc,mpfi,gas,,56.2,28.0,114.0,1.4270348118926377,volvo,103.0,four,four,5400.0,15985.0,Medium,3.15,-2.0,104.3,67.2
std,wagon,3.78,24.0,9.5,3042.0,,rwd,front,141.0,ohc,mpfi,gas,,57.5,28.0,114.0,1.4270348118926377,volvo,74.0,four,four,5400.0,16515.0,Medium,3.15,-1.0,104.3,67.2
turbo,sedan,3.62,17.0,7.5,3045.0,,rwd,front,130.0,ohc,mpfi,gas,,56.2,22.0,162.0,1.4270348118926377,volvo,103.0,four,four,5100.0,18420.0,Medium,3.15,-2.0,104.3,67.2
turbo,wagon,3.62,17.0,7.5,3157.0,,rwd,front,130.0,ohc,mpfi,gas,,57.5,22.0,162.0,1.4270348118926377,volvo,74.0,four,four,5100.0,18950.0,Medium,3.15,-1.0,104.3,67.2
std,sedan,3.78,23.0,9.5,2952.0,,rwd,front,141.0,ohc,mpfi,gas,,55.5,28.0,114.0,1.4270348118926377,volvo,95.0,four,four,5400.0,16845.0,Medium,3.15,-1.0,109.1,68.9
turbo,sedan,3.78,19.0,8.7,3049.0,,rwd,front,141.0,ohc,mpfi,gas,,55.5,25.0,160.0,1.4270348118926377,volvo,95.0,four,four,5300.0,19045.0,Medium,3.15,-1.0,109.1,68.8
std,sedan,3.58,18.0,8.8,3012.0,,rwd,front,173.0,ohcv,mpfi,gas,,55.5,23.0,134.0,1.4270348118926377,volvo,95.0,six,four,5500.0,21485.0,Medium,2.87,-1.0,109.1,68.9
turbo,sedan,3.01,26.0,23.0,3217.0,,rwd,front,145.0,ohc,idi,diesel,,55.5,27.0,106.0,1.4270348118926377,volvo,95.0,six,four,4800.0,22470.0,Medium,3.4,-1.0,109.1,68.9
turbo,sedan,3.78,19.0,9.5,3062.0,,rwd,front,141.0,ohc,mpfi,gas,,55.5,25.0,114.0,1.4270348118926377,volvo,95.0,four,four,5400.0,22625.0,Medium,3.15,-1.0,109.1,68.9
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
